"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inverseOf","supersedes","supersededBy","isPartOf"
"http://schema.org/priceCurrency","priceCurrency","The currency of the price, or a price component when attached to <a class=""localLink"" href=""http://schema.org/PriceSpecification"">PriceSpecification</a> and its subtypes.<br/><br/>

Use standard formats: <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a> e.g. ""USD""; <a href=""https://en.wikipedia.org/wiki/List_of_cryptocurrencies"">Ticker symbol</a> for cryptocurrencies e.g. ""BTC""; well known names for <a href=""https://en.wikipedia.org/wiki/Local_exchange_trading_system"">Local Exchange Tradings Systems</a> (LETS) and other currency types e.g. ""Ithaca HOUR"".","","","","http://schema.org/Offer, http://schema.org/PriceSpecification, http://schema.org/Reservation, http://schema.org/Ticket","http://schema.org/Text","","",""
"http://schema.org/learningResourceType","learningResourceType","The predominant type or kind characterizing the learning resource. For example, 'presentation', 'handout'.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/license","license","A license document that applies to this content, typically indicated by URL.","","","","http://schema.org/CreativeWork","http://schema.org/CreativeWork, http://schema.org/URL","","",""
"http://schema.org/datePublished","datePublished","Date of first broadcast/publication.","","","","http://schema.org/CreativeWork","http://schema.org/Date","","",""
"http://schema.org/version","version","The version of the CreativeWork embodied by a specified resource.","","","","http://schema.org/CreativeWork","http://schema.org/Number, http://schema.org/Text","","",""
"http://schema.org/review","review","A review of the item.","","","","http://schema.org/Brand, http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/Offer, http://schema.org/Organization, http://schema.org/Place, http://schema.org/Product, http://schema.org/Service","http://schema.org/Review","","http://schema.org/reviews",""
"http://schema.org/thumbnailUrl","thumbnailUrl","A thumbnail image relevant to the Thing.","","","","http://schema.org/CreativeWork","http://schema.org/URL","","",""
"http://schema.org/timeRequired","timeRequired","Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'P30M', 'P1H25M'.","","","","http://schema.org/CreativeWork","http://schema.org/Duration","","",""
"http://schema.org/ratingCount","ratingCount","The count of total number of ratings.","","","","http://schema.org/AggregateRating","http://schema.org/Integer","","",""
"http://schema.org/ratingValue","ratingValue","The rating for the content.","","","","http://schema.org/Rating","http://schema.org/Number, http://schema.org/Text","","",""
"http://schema.org/worstRating","worstRating","The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.","","","","http://schema.org/Rating","http://schema.org/Number, http://schema.org/Text","","",""
